Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C16, C17, C2, C23, C27, C28, C3, C35, C36, C37, C38, C4, C40, C41, C42, C43, C45, C5, C50, C51, C52, C53, C54, C55, C56, C57, C6, C64, C70, C75, C77, C82, C86",0402,35,100n,C307331
C11,0603,1,47n,C469624
C12,0603,1,4u7,C69335
"C13, C14, C15, C20, C25, C29, C31, C33, C59, C73, C74, C79, C80, C87, C88",0805,15,10u,C3039694
"C18, C19, C30, C32, C34, C39, C44, C61, C62, C63, C67, C68, C69, C7, C76, C8, C9",0603,17,1u,C5199872
"C21, C22, C47, C48, C71, C72",0402,6,22p,C1555
"C26, C46, C49, C58",0402,4,10n,C15195
C60,0603,1,0.39u,C1623
"C65, C66, C81, C83, C84, C85",0805,6,22u,C45783
C78,0603,1,220n,C21120
CN1,CONN-SMD_DF37NB-24DS-0.4V,1,DF37NB-24DS-0.4V(51),C3036280
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D8, D9",D_SOD-323,72,1N4148WS,C2843305
"D73, D74, D75, D76, D77, D78, D80, D81",LTW-010DCG-SR-G,8,LTW-010DCG-SR-G,C5175311
"D79, D85",D_SOD-123,2,2.0v,C438287
D82,0603,1,Purple LED,C7371898
"D83, D84",D_SOD-323,2,1N5819WS,C369937
D86,D_SOD-323F,1,2.7v,C550976
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB device,C165948
J10,1X04_1MM_RA_GND,1,Expansion I3C,C160404
J13,JST_S2B-ZR-SM4A-TF(LF)(SN),1,Battery,C265329
J2,USB-A-TH_JTJ-USB-A-F-10.0-010,1,USB host,C42576
J4,PJ-327ST-SMT,1,Headphone,C319103
J5,PinSocket_2x07_P2.54mm_Horizontal,1,External Add-On (SAO / PMOD),C2936004
J6,PinSocket_2x18_P2.54mm_Vertical_SMD,1,Internal Add-On,C3975163
J7,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,1,Speaker,C189700
J8,SD_Card-micro_socket_A,1,Micro_SD_Card,C7529389
J9,Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal,1,CAMERA,C597981
L1,Inductor_MSC20FC,1,2.2u,C375944
L2,L_Wurth_WE-LQSH-4020,1,YHNR4020-2R2M,C2926400
"L4, L6",IND-SMD_L4.0-W4.0,2,6.8uH,C520306
L7,IND-SMD_L6.0-W6.0,1,CMLW6028S1R5MST,C431354
"Q1, Q2, Q3, Q4",SOT-23,4,AP2302B,C406812
"Q5, Q6",SOT-23,2,AO3400 (A09T),C2938367
"R1, R16, R2, R21, R22, R24, R25, R28, R29, R3, R38, R4, R43, R49, R5, R50, R53, R6, R62, R63, R7, R75, R78, R8, R80, R98",0402,26,10k,C60490
"R10, R77, R79, R9",0402,4,5k1,C25905
"R100, R11, R13, R15, R23, R42, R45, R60, R61, R65, R66, R74, R76, R99",0402,14,4k7,C25900
"R101, R12, R27, R31, R32, R39, R47, R70, R71, R72",0402,10,100k,C25741
"R17, R18",0402,2,27,C25100
"R19, R46, R81",0402,3,2k2,C25879
R20,0402,1,261,C7467416
"R26, R30, R33, R34, R35, R36, R37, R54, R55, R56, R57, R58, R59",0402,13,51k,C25794
"R40, R41",0402,2,499k,C137971
"R44, R52",0402,2,4k02,C43251
R48,0402,1,4R7,C25121
R51,0402,1,10,C25077
R64,0402,1,1M,C26083
"R67, R68",0402,2,33,C25105
R69,0402,1,0,C17168
R73,0402,1,180k,C100276
SW1,KEY-TH_TC-1101V-C-A-W,1,Power,C318992
SW2,KEY-TH_TC-1101V-C-A-W,1,User,C318992
SW3,KEY-TH_TC-1101V-C-A-W,1,Boot,C318992
U1,LQFP-48_7x7mm_P0.5mm,1,CH32V203C8T6,C3001172
U10,XDCR_BHI360,1,BHI360,C18213569
"U11, U12",SOT-23-6,2,AP3032KTR,C264086
U13,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C113767
U14,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ES8156,C2887138
U15,SOT-89-3,1,LR8341A-M25,C5205210
U16,SSOP-8_3.9x5.05mm_P1.27mm,1,FM8002A,C94625
"U17, U18, U19, U22, U9",SK6805-EC20,5,SK6805,C2890036
"U20, U32",SOT-353_SC-70-5,2,"74LVC1G17GW,125",C426705
U21,TSSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,1,"PCA9517DP,118",C2652381
U23,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,1,TPS63020DSJR,C15483
U24,SOT-23-5,1,SY6280AAC,C55136
U25,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,65K5.,C841299
U26,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,C125972
"U28, U29",SOT-666,2,USBLC6-2P6,C2827693
U3,SOT-23-5,1,TLV62569DBV,C141836
"U30, U31",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,2,ESD,C5180236
U4,QSOP-16_3.9x4.9mm_P0.635mm,1,CH334R,C4154405
U5,ESP32-C6-WROOM-1,1,ESP32-C6-WROOM-1,C5366877
U6,Texas_S-PWQFN-N24_EP2.7x2.7mm_ThermalVias,1,BQ25895RTW,C80200
U7,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH340K,C18208922
U8,QFN-104_EP_10x10_Pitch0.35mm-ESP32-P4,1,ESP32-P4,C22387510
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12MHz,C284156
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,C95361
Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,C337678
