Designator,Mid X,Mid Y,Rotation,Layer
C1,-23.39,7.93,180.0,bottom
C10,12.53,53.39,180.0,bottom
C11,-33.7,31.975,180.0,bottom
C12,-27.180002,38.619998,90.0,bottom
C13,-21.9,27.250001,90.0,bottom
C14,-19.85,27.260002,90.0,bottom
C15,-24.674999,27.975,180.0,bottom
C16,12.9725,17.625,0.0,bottom
C17,10.35,16.675,90.0,bottom
C18,-38.025,52.8,0.0,bottom
C19,-32.575,51.3,270.0,bottom
C2,-24.86,15.3,0.0,bottom
C20,-33.94,42.54,180.0,bottom
C21,-21.67,10.88,90.0,bottom
C22,-21.66,12.77,270.0,bottom
C23,-23.38,9.08,180.0,bottom
C25,-14.75,15.219347,0.0,bottom
C26,18.045,20.05,0.0,bottom
C27,-9.2,24.425,0.0,bottom
C28,-7.64,34.42,0.0,bottom
C29,-33.94,35.93,180.0,bottom
C3,-34.66,3.84,0.0,bottom
C30,-37.1602,33.2232,90.0,bottom
C31,47.81,21.53,180.0,bottom
C32,46.43,34.06,180.0,bottom
C33,44.27,57.01,90.0,bottom
C34,41.89,48.09,270.0,bottom
C35,-7.5,17.0,270.0,bottom
C36,5.66,32.4,90.0,bottom
C37,-14.108851,16.789347,0.0,bottom
C38,-3.2,17.0,270.0,bottom
C39,-1.97,16.16,270.0,bottom
C4,-36.68,12.56,0.0,bottom
C40,-5.25,17.0,270.0,bottom
C41,-4.24,16.67,270.0,bottom
C42,25.04,52.97,0.0,bottom
C43,-6.5,17.0,270.0,bottom
C44,16.58,32.625,90.0,bottom
C45,-7.4,30.74,0.0,bottom
C46,41.825,36.945,270.0,bottom
C47,-9.505,30.75,0.0,bottom
C48,-9.825,25.45,180.0,bottom
C49,12.411104,27.26,0.0,bottom
C5,-25.56,14.29,180.0,bottom
C50,13.53,28.59,180.0,bottom
C51,8.75,19.8,180.0,bottom
C52,15.975,24.975,180.0,bottom
C53,-9.2,22.97,0.0,bottom
C54,3.1,32.65,90.0,bottom
C55,-1.825,32.4,90.0,bottom
C56,1.1,17.6,270.0,bottom
C57,-7.95,25.45,0.0,bottom
C58,36.14,59.23,90.0,bottom
C59,-33.94,38.13,180.0,bottom
C6,-28.3225,56.85,0.0,bottom
C60,35.825,11.45,0.0,bottom
C61,35.075,9.175,90.0,bottom
C62,35.075,6.125,270.0,bottom
C63,40.575,12.125,90.0,bottom
C64,42.125,10.005,270.0,bottom
C65,36.49,2.78,270.0,bottom
C66,40.37,3.0,270.0,bottom
C67,34.52,2.66,270.0,bottom
C68,28.9,12.44,180.0,bottom
C69,31.31,3.26,0.0,bottom
C7,-28.4,58.125,0.0,bottom
C70,31.82,1.99,0.0,bottom
C71,38.2,3.78,270.0,bottom
C72,38.2,1.9,90.0,bottom
C73,-33.94,40.35,180.0,bottom
C74,-33.94,33.73,180.0,bottom
C75,-43.7,48.105,90.0,bottom
C76,-43.697499,50.65,270.0,bottom
C77,-42.11,51.17,90.0,bottom
C78,-41.11,52.825,180.0,bottom
C79,-18.07,39.47,0.0,bottom
C8,-30.875,56.675,90.0,bottom
C80,-18.78,42.26,270.0,bottom
C81,-26.194999,51.225,90.0,bottom
C82,-20.8,39.325,270.0,bottom
C83,-29.429997,51.249999,90.0,bottom
C84,-29.434998,47.699999,270.0,bottom
C85,-26.2,47.674999,270.0,bottom
C86,32.97,56.05,90.0,bottom
C87,-38.2524,42.2148,180.0,bottom
C88,46.470201,43.3104,0.0,bottom
C9,-29.925,38.625,90.0,bottom
CN1,40.54,59.95,180.0,top
D1,-37.0,-5.8,270.0,bottom
D10,-35.0,-5.8,270.0,bottom
D11,-32.0,-2.3,270.0,bottom
D12,-36.0,-2.3,270.0,bottom
D13,-25.0,-5.8,270.0,bottom
D14,-28.0,-2.3,270.0,bottom
D15,-27.0,-5.8,270.0,bottom
D16,-29.0,-5.8,270.0,bottom
D17,-26.0,-2.3,270.0,bottom
D18,-31.0,-5.8,270.0,bottom
D19,-19.0,-5.8,270.0,bottom
D2,-40.0,-2.3,270.0,bottom
D20,-22.0,-2.25,270.0,bottom
D21,-21.0,-5.8,270.0,bottom
D22,-23.0,-5.75,270.0,bottom
D23,-20.0,-2.3,270.0,bottom
D24,-24.0,-2.3,270.0,bottom
D25,-15.0,-5.8,270.0,bottom
D26,-16.0,-2.3,270.0,bottom
D27,-14.0,-2.3,270.0,bottom
D28,-17.0,-5.8,270.0,bottom
D29,-9.0,-5.8,270.0,bottom
D3,-39.0,-5.8,270.0,bottom
D30,-11.0,-5.8,270.0,bottom
D31,-10.0,-2.3,270.0,bottom
D32,-12.0,-2.3,270.0,bottom
D33,-18.0,-2.3,270.0,bottom
D34,-4.0,-2.3,270.0,bottom
D35,-6.0,-2.3,270.0,bottom
D36,-5.0,-5.8,270.0,bottom
D37,-8.0,-2.3,270.0,bottom
D38,-13.0,-5.8,270.0,bottom
D39,5.0,-5.8,270.0,bottom
D4,-42.0,-2.3,270.0,bottom
D40,2.0,-2.3,270.0,bottom
D41,4.0,-2.3,270.0,bottom
D42,1.0,-5.8,270.0,bottom
D43,-7.0,-5.8,270.0,bottom
D44,0.0,-2.3,270.0,bottom
D45,9.0,-5.8,270.0,bottom
D46,-3.0,-5.8,270.0,bottom
D47,3.0,-5.8,270.0,bottom
D48,28.0,-2.3,270.0,bottom
D49,-1.0,-5.8,270.0,bottom
D5,-38.0,-2.3,270.0,bottom
D50,8.0,-2.3,270.0,bottom
D51,-2.0,-2.3,270.0,bottom
D52,6.0,-2.3,270.0,bottom
